Summary,Issue Type,Description,Priority,Original Estimate,Parent
"행동 공간(Action) 정의",Sub-task,"에이전트가 취할 수 있는 행동을 정의합니다.

- action_space 설정 (Jump, Duck, Stay)",Medium,2h,"[US-09] RL 환경 구축"
"보상 함수 설계 및 구현",Sub-task,"학습을 위한 보상 함수를 설계하고 구현합니다.

- 생존 보상
- 충돌 페널티
- 점수 보너스",High,4h,"[US-09] RL 환경 구축"
"환경-게임 연동 테스트",Sub-task,"구현된 Gym 환경과 실제 게임의 연동을 테스트합니다.",High,3h,"[US-09] RL 환경 구축"
"Stable Baselines3 설정",Sub-task,"Stable Baselines3 라이브러리를 설치하고 환경을 설정합니다.",High,2h,"[US-10] RL 에이전트 학습"
"PPO 에이전트 학습 스크립트",Sub-task,"PPO 알고리즘을 사용한 에이전트 학습 스크립트를 작성합니다.",High,4h,"[US-10] RL 에이전트 학습"
"DQN 에이전트 학습 스크립트",Sub-task,"DQN 알고리즘을 사용한 에이전트 학습 스크립트를 작성합니다.",Medium,4h,"[US-10] RL 에이전트 학습"
"하이퍼파라미터 튜닝 실험",Sub-task,"최적의 학습 성능을 위한 하이퍼파라미터 튜닝 실험을 수행합니다.",Medium,8h,"[US-10] RL 에이전트 학습"
"모델 체크포인트 저장/로드",Sub-task,"학습된 모델의 체크포인트 저장 및 로드 기능을 구현합니다.",Medium,2h,"[US-10] RL 에이전트 학습"
"평가 메트릭 정의",Sub-task,"에이전트 성능 평가를 위한 메트릭을 정의합니다.

- 평균 점수, 최고 점수
- 생존 시간
- 성공률",High,2h,"[US-11] 성능 평가 및 비교"
"자동화 평가 스크립트",Sub-task,"에이전트 성능을 자동으로 평가하는 스크립트를 작성합니다.",Medium,3h,"[US-11] 성능 평가 및 비교"
"결과 시각화 (Matplotlib/TensorBoard)",Sub-task,"학습 및 평가 결과를 시각화하는 기능을 구현합니다.",Medium,3h,"[US-11] 성능 평가 및 비교"
"최종 성능 리포트 작성",Sub-task,"규칙 기반 vs RL 에이전트 성능 비교 리포트를 작성합니다.",Low,2h,"[US-11] 성능 평가 및 비교"
